# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor	2.1	3260
FourColor.Adjoin	1.4	1764
FourColor.Approx	3.7	2265
FourColor.Birkhoff	10.4	3184
FourColor.Bulk.Cfg.Grp06_00	2.7	2494
FourColor.Bulk.Cfg.Grp07_00	3.0	2496
FourColor.Bulk.Cfg.Grp08_00	7.9	2508
FourColor.Bulk.Cfg.Grp09_00	12.9	2535
FourColor.Bulk.Cfg.Grp10_00	56.8	2613
FourColor.Bulk.Cfg.Grp11_00	87.4	2710
FourColor.Bulk.Cfg.Grp11_01	87.5	2683
FourColor.Bulk.Cfg.Grp11_02	38.6	2610
FourColor.Bulk.Cfg.Grp12_00	71.8	2764
FourColor.Bulk.Cfg.Grp12_01	73.8	2765
FourColor.Bulk.Cfg.Grp12_02	74.3	2752
FourColor.Bulk.Cfg.Grp12_03	72.8	2763
FourColor.Bulk.Cfg.Grp12_04	73.6	2755
FourColor.Bulk.Cfg.Grp12_05	69.7	2740
FourColor.Bulk.Cfg.Grp12_06	72.2	2764
FourColor.Bulk.Cfg.Grp12_07	74.5	2788
FourColor.Bulk.Cfg.Grp12_08	72.0	2767
FourColor.Bulk.Cfg.Grp12_09	57.3	2731
FourColor.Bulk.Cfg.Grp13_00	77.4	3120
FourColor.Bulk.Cfg.Grp13_01	69.6	3117
FourColor.Bulk.Cfg.Grp13_02	72.6	3155
FourColor.Bulk.Cfg.Grp13_03	71.8	3170
FourColor.Bulk.Cfg.Grp13_04	70.5	3189
FourColor.Bulk.Cfg.Grp13_05	70.2	3091
FourColor.Bulk.Cfg.Grp13_06	70.8	3179
FourColor.Bulk.Cfg.Grp13_07	72.4	3167
FourColor.Bulk.Cfg.Grp13_08	70.4	3120
FourColor.Bulk.Cfg.Grp13_09	67.9	3121
FourColor.Bulk.Cfg.Grp13_10	73.0	3166
FourColor.Bulk.Cfg.Grp13_11	72.2	3153
FourColor.Bulk.Cfg.Grp13_12	69.5	3151
FourColor.Bulk.Cfg.Grp13_13	74.0	3160
FourColor.Bulk.Cfg.Grp13_14	72.1	3116
FourColor.Bulk.Cfg.Grp13_15	73.7	3190
FourColor.Bulk.Cfg.Grp13_16	72.5	3160
FourColor.Bulk.Cfg.Grp13_17	72.9	3179
FourColor.Bulk.Cfg.Grp13_18	36.3	3075
FourColor.Bulk.Cfg.Grp14_00	81.2	4457
FourColor.Bulk.Cfg.Grp14_01	84.0	4434
FourColor.Bulk.Cfg.Grp14_02	82.2	4485
FourColor.Bulk.Cfg.Grp14_03	80.0	4496
FourColor.Bulk.Cfg.Grp14_04	79.8	4442
FourColor.Bulk.Cfg.Grp14_05	81.7	4470
FourColor.Bulk.Cfg.Grp14_06	81.7	4481
FourColor.Bulk.Cfg.Grp14_07	79.9	4479
FourColor.Bulk.Cfg.Grp14_08	79.8	4444
FourColor.Bulk.Cfg.Grp14_09	84.8	4481
FourColor.Bulk.Cfg.Grp14_10	80.5	4441
FourColor.Bulk.Cfg.Grp14_11	79.3	4228
FourColor.Bulk.Cfg.Grp14_12	81.3	4483
FourColor.Bulk.Cfg.Grp14_13	83.4	4465
FourColor.Bulk.Cfg.Grp14_14	82.8	4491
FourColor.Bulk.Cfg.Grp14_15	81.8	4493
FourColor.Bulk.Cfg.Grp14_16	83.4	4482
FourColor.Bulk.Cfg.Grp14_17	81.2	4432
FourColor.Bulk.Cfg.Grp14_18	84.7	4446
FourColor.Bulk.Cfg.Grp14_19	84.2	4480
FourColor.Bulk.Cfg.Grp14_20	83.9	4499
FourColor.Bulk.Cfg.Grp14_21	78.8	4262
FourColor.Bulk.Cfg.Grp14_22	81.0	4443
FourColor.Bulk.Cfg.Grp14_23	82.1	4473
FourColor.Bulk.Cfg.Grp14_24	25.7	4425
FourColor.Bulk.Cfg.Hyb033	7.5	2549
FourColor.Bulk.Cfg.Hyb051	7.8	2580
FourColor.Bulk.Cfg.Hyb059	8.1	2584
FourColor.Bulk.Cfg.Hyb072	12.5	2732
FourColor.Bulk.Cfg.Hyb073	12.4	2731
FourColor.Bulk.Cfg.Hyb079	10.8	2732
FourColor.Bulk.Cfg.Hyb082	57.4	3527
FourColor.Bulk.Cfg.Hyb094	20.3	3082
FourColor.Bulk.Cfg.Hyb138	14.7	2760
FourColor.Bulk.Cfg.Hyb140	15.5	2756
FourColor.Bulk.Cfg.Hyb141	12.0	2754
FourColor.Bulk.Cfg.Hyb143	10.3	2754
FourColor.Bulk.Cfg.Hyb144	11.7	2752
FourColor.Bulk.Cfg.Hyb145	11.4	2733
